Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,num_distr,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
99,0,99,0,5,196.11853090001387,196.11853090001387,0.014662300003692508,[0.17708333333333334],[0.4739583333333333],[1],[0],[0],[1.7485503999923822],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
100,0,100,0,10,197.90146829999867,197.90146829999867,0.02826620000996627,[0.06380208333333333],[-0.03515625],[1],[0],[0],[1.435346699989168],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
101,0,101,0,10,199.36633089999668,199.36633089999668,0.026035599992610514,[-0.11979166666666667],[0.4505208333333333],[1],[0],[0],[1.187334699992789],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
102,0,102,0,5,200.56905059999553,200.56905059999553,0.015487399999983609,[0.032552083333333336],[0.44140625],[1],[0],[0],[2.49747319999733],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
103,0,103,0,5,203.08563720001257,203.08563720001257,0.01601750002009794,[0.33203125],[-0.18619791666666666],[1],[0],[0],[1.7814355999871623],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
104,0,104,0,5,204.8939248000097,204.8939248000097,0.021171400003368035,[-0.4505208333333333],[0.22265625],[1],[0],[0],[1.5575668000092264],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
105,0,105,0,10,206.48600279999664,206.48600279999664,0.028606499981833622,[0.19401041666666666],[-0.045572916666666664],[1],[0],[0],[1.2684872000245377],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
106,0,106,0,5,207.7675353999948,207.7675353999948,0.014136800018604845,[-0.24869791666666666],[-0.10416666666666667],[1],[0],[0],[1.232764699991094],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
107,0,107,0,10,209.04135680000763,209.04135680000763,0.03361919999588281,[0.0013020833333333333],[0.05078125],[1],[0],[0],[7.5281056000094395],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
108,0,108,0,10,216.60224130001734,216.60224130001734,0.027064900001278147,[0.31640625],[-0.024739583333333332],[1],[0],[0],[1.452256699994905],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
109,0,109,0,10,218.0866332000005,218.0866332000005,0.03060560001176782,"[0.10807291666666667, 0.11458333333333333]","[-0.05078125, -0.05078125]","[1, 1]","[0, 0]","[0, 0]","[0.9830095999932382, 2.1344245999935083]",['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
110,0,110,0,10,220.25027250000858,220.25027250000858,0.02717580000171438,[0.4375],[0.40234375],[1],[0],[0],[1.9683925999852363],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
111,0,111,0,5,222.23412989999633,222.23412989999633,0.015084899991052225,[-0.4700520833333333],[-0.4036458333333333],[1],[0],[0],[1.6315381999884266],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
112,0,112,0,10,223.9010998000158,223.9010998000158,0.028292100003454834,[-0.3776041666666667],[0.2916666666666667],[1],[0],[0],[1.6522119000146631],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
113,0,113,0,10,225.5797814000107,225.5797814000107,0.02516379998996854,[-0.40625],[0.07161458333333333],[1],[0],[0],[1.1724042000132613],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
114,0,114,0,5,226.7660453999997,226.7660453999997,0.014123600005405024,"[0.37109375, 0.3541666666666667]","[0.37109375, 0.36328125]","[1, 1]","[0, 0]","[0, 0]","[1.282569400005741, 1.9992603000137024]",['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
115,0,115,0,10,228.80651070000022,228.80651070000022,0.03255679999710992,[0.18880208333333334],[0.47265625],[1],[0],[0],[1.5794483000063337],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
116,0,116,0,5,230.39769870002056,230.39769870002056,0.013793899997835979,[0.08463541666666667],[0.15104166666666666],[1],[0],[0],[1.6001940999994986],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
117,0,117,0,5,232.01956519999658,232.01956519999658,0.017361100006382912,[0.010416666666666666],[0.12109375],[1],[0],[0],[0.8798935000086203],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
118,0,118,0,5,232.91860850001103,232.91860850001103,0.015268999995896593,[-0.18359375],[0.06640625],[1],[0],[0],[1.1132276999996975],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
119,0,119,0,5,234.05539480000152,234.05539480000152,0.018765599990729243,[0.0078125],[0.024739583333333332],[1],[0],[0],[2.460613600007491],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
120,0,120,0,10,236.55408420000458,236.55408420000458,0.031219199998304248,[-0.020833333333333332],[0.17838541666666666],[1],[0],[0],[0.9310888999898452],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
121,0,121,0,5,237.49727350001922,237.49727350001922,0.013434399996185675,[-0.21614583333333334],[-0.16276041666666666],[1],[0],[0],[2.101429800008191],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
122,0,122,0,5,239.61892790001002,239.61892790001002,0.014274199987994507,[0.2838541666666667],[0.09375],[1],[0],[0],[1.4664292000234127],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
123,0,123,0,5,241.10744039999554,241.10744039999554,0.019484899996314198,[0.13541666666666666],[0.4505208333333333],[1],[0],[0],[1.6584123000211548],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
124,0,124,0,5,242.78934650000883,242.78934650000883,0.019113000016659498,[0.3580729166666667],[-0.4244791666666667],[1],[0],[0],[1.909348899993347],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
125,0,125,0,5,244.71647650000523,244.71647650000523,0.015049599984195083,[-0.0859375],[-0.4739583333333333],[1],[0],[0],[2.048673199984478],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
126,0,126,0,5,246.78609760000836,246.78609760000836,0.01791840000078082,[-0.19401041666666666],[-0.45703125],[1],[0],[0],[1.9783213999762665],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
127,0,127,0,5,248.78225809999276,248.78225809999276,0.014709699986269698,[0.16536458333333334],[0.4205729166666667],[1],[0],[0],[1.4657412999949884],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
128,0,128,0,10,250.28619700000854,250.28619700000854,0.03152590000536293,[-0.022135416666666668],[0.05078125],[1],[0],[0],[1.1969973999948706],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
129,0,129,0,10,251.51439620001474,251.51439620001474,0.02756840002257377,[-0.10286458333333333],[-0.234375],[1],[0],[0],[1.320519000000786],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
130,0,130,0,10,252.8679101000016,252.8679101000016,0.026614600006723776,[-0.18098958333333334],[0.3072916666666667],[1],[0],[0],[1.3858494999876712],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
131,0,131,0,10,254.27989720000187,254.27989720000187,0.026470999990124255,[0.24348958333333334],[0.08203125],[1],[0],[0],[1.721168399992166],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
132,0,132,0,5,256.0145071000152,256.0145071000152,0.014131000003544614,[-0.08203125],[-0.0234375],[1],[0],[0],[1.6007967999903485],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
133,0,133,0,5,257.6372798999946,257.6372798999946,0.01834239999880083,[0.09244791666666667],[0.4934895833333333],[1],[0],[0],[1.3434866000025067],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
134,0,134,0,10,259.01602979999734,259.01602979999734,0.028500499989604577,[0.4674479166666667],[-0.20833333333333334],[1],[0],[0],[2.217116799991345],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
135,0,135,0,10,261.2629908999952,261.2629908999952,0.025838500005193055,[0.20182291666666666],[-0.4518229166666667],[1],[0],[0],[2.75443329999689],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
136,0,136,0,5,264.0305059000093,264.0305059000093,0.014429200004087761,[-0.3333333333333333],[-0.3502604166666667],[1],[0],[0],[1.9509584000043105],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
137,0,137,0,5,265.9976772000082,265.9976772000082,0.013408799975877628,[-0.20703125],[-0.4322916666666667],[1],[0],[0],[1.6165735000104178],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
138,0,138,0,10,267.64870079999673,267.64870079999673,0.027763399994000793,[-0.10416666666666667],[0.20703125],[1],[0],[0],[1.300454100011848],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
139,0,139,0,10,268.9806017999945,268.9806017999945,0.027875399973709136,[0.20572916666666666],[-0.3932291666666667],[1],[0],[0],[1.7192298999871127],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
140,0,140,0,5,270.7152432000148,270.7152432000148,0.015664599981391802,[-0.24479166666666666],[0.22916666666666666],[1],[0],[0],[1.4477607000153512],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
141,0,141,0,10,272.20281780001824,272.20281780001824,0.03229010000359267,[-0.3645833333333333],[0.2825520833333333],[1],[0],[0],[1.6299308000016026],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
142,0,142,0,5,273.8465536000149,273.8465536000149,0.013871999981347471,"[-0.16536458333333334, -0.14973958333333334]","[-0.17838541666666666, -0.15885416666666666]","[1, 1]","[0, 0]","[0, 0]","[1.5000685999984853, 2.3997418000071775]",['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
143,0,143,0,5,276.2650926000206,276.2650926000206,0.014154999982565641,[0.3098958333333333],[-0.4231770833333333],[1],[0],[0],[1.7834547999955248],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
144,0,144,0,5,278.0632467000105,278.0632467000105,0.014049399993382394,[-0.20442708333333334],[0.4088541666666667],[1],[0],[0],[1.9501272999914363],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
145,0,145,0,5,280.0401203999936,280.0401203999936,0.020407099975273013,[-0.2890625],[0.4518229166666667],[1],[0],[0],[1.7909560000116471],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
146,0,146,0,5,281.8535048000049,281.8535048000049,0.019629099988378584,[0.09895833333333333],[-0.4388020833333333],[1],[0],[0],[1.7444821000099182],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
147,0,147,0,5,283.6171617000073,283.6171617000073,0.015846900001633912,[-0.3815104166666667],[-0.2981770833333333],[1],[0],[0],[2.111912199994549],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
148,0,148,0,10,285.7647710000165,285.7647710000165,0.028280099999392405,[0.10286458333333333],[-0.09505208333333333],[1],[0],[0],[1.453104699990945],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
149,0,149,0,5,287.23069910000777,287.23069910000777,0.014260099997045472,"[0.5130208333333334, 0.5026041666666666]","[-0.30859375, -0.30078125]","[1, 1]","[0, 0]","[0, 0]","[1.414961400005268, 2.0668827000190504]",['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
150,0,150,0,10,289.3332059000095,289.3332059000095,0.028378899995004758,[-0.2916666666666667],[-0.07291666666666667],[1],[0],[0],[1.4998053999734111],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
151,0,151,0,10,290.8632407000114,290.8632407000114,0.026670999999623746,[0.47265625],[-0.013020833333333334],[1],[0],[0],[2.086391100019682],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
152,0,152,0,5,292.96416160001536,292.96416160001536,0.014851000014459714,[0.07161458333333333],[-0.055989583333333336],[1],[0],[0],[1.5980968000076246],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
153,0,153,0,5,294.5795352999994,294.5795352999994,0.01497600000584498,[-0.23307291666666666],[-0.23828125],[1],[0],[0],[1.4662763999949675],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
154,0,154,0,5,296.0768767000118,296.0768767000118,0.02378419999149628,"[-0.3372395833333333, -0.3307291666666667]","[0.1875, 0.18229166666666666]","[1, 1]","[0, 0]","[0, 0]","[1.3543511999887414, 2.371390899992548]",['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
155,0,155,0,5,298.46286540001165,298.46286540001165,0.013447500008624047,[-0.34375],[0.3307291666666667],[1],[0],[0],[1.2485668999725021],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
156,0,156,0,5,299.7331744999974,299.7331744999974,0.016935199993895367,[-0.4231770833333333],[0.24739583333333334],[1],[0],[0],[1.5137296000029892],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
157,0,157,0,10,301.2796857999929,301.2796857999929,0.0267726999882143,[0.07552083333333333],[-0.15104166666666666],[1],[0],[0],[1.4531503999896813],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
158,0,158,0,10,302.7596696999972,302.7596696999972,0.025509099999908358,[0.3828125],[-0.006510416666666667],[1],[0],[0],[1.6396403000107966],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
159,0,159,0,10,304.43293830001494,304.43293830001494,0.030274299992015585,[0.2864583333333333],[0.13932291666666666],[1],[0],[0],[1.2838082000089344],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
160,0,160,0,5,305.73057290000725,305.73057290000725,0.013723400013986975,[-0.055989583333333336],[0.20182291666666666],[1],[0],[0],[1.4165298000152688],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
161,0,161,0,5,307.17305730000953,307.17305730000953,0.020713300007628277,[0.13020833333333334],[0.13932291666666666],[1],[0],[0],[1.2575376000022516],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
162,0,162,0,10,308.47191700001713,308.47191700001713,0.034388800006126985,[0.19010416666666666],[0.33984375],[1],[0],[0],[1.6106950000103097],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
163,0,163,0,5,310.09973340001306,310.09973340001306,0.01682059999438934,[0.033854166666666664],[-0.057291666666666664],[1],[0],[0],[1.7791546000225935],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
164,0,164,0,5,311.89701830002014,311.89701830002014,0.015349099994637072,[0.4778645833333333],[0.2981770833333333],[1],[0],[0],[3.032706700003473],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
165,0,165,0,10,314.96438640000997,314.96438640000997,0.0286125999991782,[-0.3294270833333333],[-0.15364583333333334],[1],[0],[0],[2.3185274000279605],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
166,0,166,0,10,317.31405770001584,317.31405770001584,0.025935799989383668,[-0.3203125],[0.08072916666666667],[1],[0],[0],[1.7365710000158288],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
167,0,167,0,10,319.08356120000826,319.08356120000826,0.030808200011961162,[0.4830729166666667],[0.09895833333333333],[1],[0],[0],[2.1656441999948584],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
168,0,168,0,10,321.2760700999934,321.2760700999934,0.025890099990647286,[0.24869791666666666],[0.3606770833333333],[1],[0],[0],[1.7705543000192847],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
169,0,169,0,5,323.06060190001153,323.06060190001153,0.014179099991451949,[-0.3046875],[-0.1875],[1],[0],[0],[1.6509980000264477],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
170,0,170,0,5,324.72894780000206,324.72894780000206,0.014441700011957437,[-0.31640625],[0.4479166666666667],[1],[0],[0],[2.049311199982185],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
171,0,171,0,10,326.8186403000145,326.8186403000145,0.03249439998762682,[0.4088541666666667],[-0.2643229166666667],[1],[0],[0],[2.0613918000017293],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
172,0,172,0,5,328.89392230001977,328.89392230001977,0.013853499985998496,[-0.09635416666666667],[-0.2734375],[1],[0],[0],[1.5997079999942798],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
173,0,173,0,10,330.5307943999942,330.5307943999942,0.029835699999239296,[-0.3723958333333333],[-0.3658854166666667],[1],[0],[0],[1.7506701999809593],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
174,0,174,0,5,332.2986874000053,332.2986874000053,0.01687970000784844,[0.22265625],[0.4140625],[1],[0],[0],[1.6961563999939244],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
175,0,175,0,5,334.0168937999988,334.0168937999988,0.018745900015346706,[-0.11197916666666667],[-0.22135416666666666],[1],[0],[0],[2.27726229999098],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
176,0,176,0,10,336.3279370999953,336.3279370999953,0.0271976999938488,[0.4479166666666667],[0.033854166666666664],[1],[0],[0],[3.385970700008329],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
177,0,177,0,10,339.7467093000014,339.7467093000014,0.029683299973839894,[0.22786458333333334],[-0.4309895833333333],[1],[0],[0],[1.700154799997108],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
178,0,178,0,10,341.47605500000645,341.47605500000645,0.026377500005764887,[0.045572916666666664],[0.21875],[1],[0],[0],[1.6210126000223681],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
179,0,179,0,10,343.12441150000086,343.12441150000086,0.025078299979213625,[-0.24088541666666666],[-0.12239583333333333],[1],[0],[0],[2.072281999979168],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
180,0,180,0,10,345.2262512000161,345.2262512000161,0.026448999997228384,[0.21354166666666666],[0.20703125],[1],[0],[0],[1.6531983999884687],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
181,0,181,0,10,346.90786790000857,346.90786790000857,0.026017399999545887,[-0.4817708333333333],[0.2903645833333333],[1],[0],[0],[2.421346299990546],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
182,0,182,0,10,349.35992210000404,349.35992210000404,0.026110800012247637,[-0.028645833333333332],[-0.15234375],[1],[0],[0],[2.3051763999974355],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
183,0,183,0,10,351.6977720000141,351.6977720000141,0.030041899997740984,[-0.09114583333333333],[-0.11067708333333333],[1],[0],[0],[1.5827994999999646],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
184,0,184,0,10,353.3111282000027,353.3111282000027,0.026771699980599806,[-0.4505208333333333],[0.15494791666666666],[1],[0],[0],[1.6862646999943536],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
185,0,185,0,5,355.01008920001914,355.01008920001914,0.01406200000201352,[0.140625],[-0.05859375],[1],[0],[0],[1.7009944999881554],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
186,0,186,0,5,356.7319737000216,356.7319737000216,0.017149099992820993,[0.11588541666666667],[-0.022135416666666668],[1],[0],[0],[1.2955094000208192],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
187,0,187,0,10,358.060704500007,358.060704500007,0.028267799993045628,[0.47265625],[-0.020833333333333332],[1],[0],[0],[1.6351523000048473],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
188,0,188,0,5,359.7118894000014,359.7118894000014,0.015427400008775294,[0.07942708333333333],[0.2578125],[1],[0],[0],[1.5973971000057645],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
189,0,189,0,5,361.33096180000575,361.33096180000575,0.01714940002420917,[-0.4348958333333333],[0.3932291666666667],[1],[0],[0],[1.813702600018587],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
190,0,190,0,10,363.17739739999524,363.17739739999524,0.028096499998355284,[0.03515625],[-0.026041666666666668],[1],[0],[0],[1.6175465999986045],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
191,0,191,0,10,364.82599380001193,364.82599380001193,0.027324599999701604,[0.19921875],[0.044270833333333336],[1],[0],[0],[1.4360294000071008],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
192,0,192,0,5,366.27568469999824,366.27568469999824,0.014284700009739026,[0.4401041666666667],[-0.041666666666666664],[1],[0],[0],[1.7167215000081342],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
193,0,193,0,10,368.04004419999546,368.04004419999546,0.03783679998014122,[0.02734375],[-0.3671875],[1],[0],[0],[1.8390626999898814],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
194,0,194,0,10,369.90740430000005,369.90740430000005,0.02608229999896139,[0.046875],[0.3802083333333333],[1],[0],[0],[1.5545797999948263],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
195,0,195,0,10,371.4921313000086,371.4921313000086,0.02612670001690276,[-0.048177083333333336],[0.4440104166666667],[1],[0],[0],[1.3530626999854576],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
196,0,196,0,10,372.8741633000027,372.8741633000027,0.02667210000799969,[-0.4270833333333333],[-0.12369791666666667],[1],[0],[0],[1.703795799985528],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
197,0,197,0,10,374.6057201999938,374.6057201999938,0.025665299996035174,[-0.12890625],[-0.0390625],[1],[0],[0],[1.6560730999917723],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
198,0,198,0,5,376.27525259999675,376.27525259999675,0.013475599989760667,[0.24739583333333334],[0.4947916666666667],[1],[0],[0],[4.3658592000138015],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
199,0,199,0,5,380.6580094000092,380.6580094000092,0.014034300023922697,[0.4752604166666667],[-0.20572916666666666],[1],[0],[0],[1.8159454000124242],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
